0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:59 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:59 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:59 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:59 +0530] "GET /Bookify/img/ynfm.png HTTP/1.1" 404 779
192.168.43.170 - - [27/Dec/2022:11:51:26 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:51:26 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 9991
192.168.43.170 - - [27/Dec/2022:11:52:36 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:52:36 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 10310
192.168.43.112 - - [27/Dec/2022:11:52:41 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.112 - - [27/Dec/2022:11:52:41 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 10564
192.168.43.170 - - [27/Dec/2022:11:54:14 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:54:14 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 10986
192.168.43.112 - - [27/Dec/2022:11:54:57 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.112 - - [27/Dec/2022:11:54:57 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:55:17 +0530] "GET /Bookify/home.jsp HTTP/1.1" 500 3378
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:56:11 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 25257
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:56:11 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:56:11 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:56:11 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:56:11 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:56:11 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
